Japanese,English
我がまま,selfishness
或いは,Alternatively
或る,Some
戦,War
戦力,Forces
戦災,War disaster
戦術,tactics
戦闘,fight
戯曲,Play
戴きます,I will
戸,door
戸籍,Family register
戸締り,Closing of the door
所々,Here and there
所が,A place
所で,On the way
所在,Being located
所定,Establishment
所属,Affiliation
所得,income
所持,Possession
所謂,So -called so -called
扉,door
手元,At hand
手分け,Hand -shaped
手回し,Handwriting
手引き,guidance
手当て,allowance
手掛かり,clue
手掛ける,Work on
手数,Devoted
手本,Model
手法,Method
手筈,Arrangement
手芸,Handicraft
手軽,Simple
手近,Close
手遅れ,Being too late
手配,Arrangement
手錠,handcuffs
手際,Skillful
手順,procedure
打ち切る,abort
打ち合わせ,meeting
打ち合わせる,Meet
打ち消し,Cancellation
打ち込む,Draft
打付ける,Hit
打撃,Blow
打開,Breakthrough
扱い,Treatment
扶養,Dependence
承諾,Consent
技,Technique
技能,Skill
把握,Grasp
抑制,Suppression
抑圧,suppression
抓る,pinch
投げ出す,Throw out
投入,Introduction
投資,investment
抗争,Struggle
抗議,protest
折り返す,Turn back
折衷,Eclectic
抜かす,Remove
抜け出す,Get out
押さえる,Hold down
押し寄せる,Rush
押し込む,Push into
抽選,lottery
担う,Be responsible for
担架,stretcher
拐う,abduct
拒否,rejection
拒絶,rejection
拗れる,Become frustrated
拘束,Restraint
招き,Invitation
拝借,Borrowing
拝啓,Dear
拡散,diffusion
拵える,make
持ち,Holding
持ち切り,Ending
持てる,Be able to do it
持て成す,entertain
持続,Sustainable
指令,Command
指図,Instruction
指差す,pointing
指揮,Command
指摘,indicate
指示,Instructions
挑む,Challenge
挑戦,challenge
振り,Swing
振り出し,Gesture
振動,vibration
振興,Promotion
捕らえる,capture
捕吏,Patrol
捕獲,capture
捕虜,Prisoner
捕鯨,whaling
捗る,Progress
捜査,investigation
捜索,search
捧げる,devote
据える,Put on
据え付ける,Install
捲る,Turn over
捻じれる,Be twisted
捻子,Twist
授ける,Give award
掌,palm
排水,Drainage
排除,Exclusion
掛け,Hanging
採択,Adoption
採掘,mining
採決,vote
採用,Recruitment
採算,Profitability
採集,Gathering
探検,expedition
接ぐ,Trace
接続詞,conjunction
接触,contact
控える,Refrain from
控室,waiting room
控除,deduction
推測,Speculation
推理,Reasoning
推進,Promoting
措置,Measure
掬う,scoop
掲げる,Raise
掲載,publish
掻き回す,Stir around
揃い,Alignment
揉める,Massage
描写,Description
提供,Providing
提携,Partnership
提示,Presentation
換算,Conversion
揶揄う,Ridicule
揺さぶる,Shake
揺らぐ,Fluctuate
損なう,Hurt
損失,loss
携わる,Be involved in
携帯,cell phone
摘む,Pick
操る,manipulate
操縦,Pilot
擦る,rub
擦れる,rub
擦れ違い,Misconduct
擽ぐったい,I want to be
支持,support
改まる,Be changed
改修,Refurbishment
改定,modification
改悪,Worsening
改良,Improvement
改訂,revision
改革,reform
攻め,Offense
放り出す,Throw away
放り込む,Throw in
放出,release
放射,radiation
放射能,radioactivity
放棄,Abandonment
放置,Abandoned
政権,administration
政策,policy
故,late
故人,deceased
敏感,sensitive
救い,Salvation
救援,relief
救済,Rescue
敗戦,defeat
教え,lesson
教員,Faculty member
教材,Teaching materials
教科,Subject
教習,Training
教職,Faculty
教訓,Lesson
敢えて,dare
散蒔く,Sow
敬具,Very truly yours
数詞,numeral
整える,Arrange
整列,Alignment
整然,Neatly
敵,enemy
文,Sentence
文化財,Cultural property
文書,documents
文語,Literary language
斑,Spots
料,Fee
斜面,Slope
断然,Definitely
断言,Affirmation
断面,cross section
新,new
新人,Newcomer
新入生,Freshman
新婚,just married
新築,New construction
新興,Emerging
方式,method
方策,Measures
於,in
於いて,In
施す,Apply
施行,Enforcement
施設,institution
旅券,passport
旅客,passenger
既婚,married
日々,day to day
日の丸,Hinomaru
日付,date
日取り,Day off
日向,Sunrise
日夜,day and night
日当,Day
日焼け,Sunburn
日頃,Regularly
旦那,husband
旧事,bygone
旧知,Old awareness
早める,Accelerate
早急,quickly
昆虫,insect
昇進,promotion
明々後日,After a long time
明かす,Reveal
明くる,Be bright
明るい,bright
明後日,day after tomorrow
明朗,Clear
明白,Obvious
明瞭,clarity
易い,easy
星座,sign
映える,shine
映像,picture
映写,projection
是正,correction
是非とも,By all means
昼間,Daytime
昼飯,lunch
時刻表,time table
時差,time difference
時折,sometimes
普遍,Universal
晴天,Fine weather
暇,free
暗殺,assassination
暗示,Suggestion
暗算,Mental arithmetic
暦,calendar
暫く,For a while
暴力,violence
暴動,Riot
暴露,exposure
暴風,Storm
曖昧,ambiguous
曲,song
曲がる,Bend
書き取り,Writing
書き取る,Write down
書評,Book review
最善,Best
最早,Early
月並み,Average
月日,time
月謝,Monthly fee
月賦,Monthly installment
有する,Have
有りのまま,As it is
有力,Powerful
有望,promising
有様,Wise
有機,Organic
有益,beneficial
有難う,Thank you
朗読,Reading
望ましい,desirable
朝寝坊,Sleeping in the morning
期,Period
期日,due date
期末,End of term
木綿,cotton
未,Not
未だ,still
未婚,Unmarried
未定,to be decided
未熟,immature
未知,Unknown
未練,Untrained
未開,Unexpected
末,End
末期,End of the year
本の,book of
本体,Body
本名,Real name
本場,Home
本文,Text
本格,Full -fledged
本気,Seriousness
本能,instinct
本質,Essence
本音,True intention
本館,Main building
朽ちる,Decay
杖,Wand
束の間,For a long time
束縛,Binding
条約,Treaty
来る,come
来場,Visit
杯,Cup
東,east
林業,forestry
枚,Sheet
果たして,As a result
果たす,Fulfill
果て,End
果てる,Be overwhelmed
果ない,Absurd
枠,frame
染まる,Be dyed
染みる,Permeate
染める,dye
柔軟,flexible
柱,Pillar
柵,fence
栄える,Flourish
校,school
株式,stock
核,Nucleus
根回し,Rooting
根底,Underlying
根拠,basis
根本,root
根気,Patience
格,Case
格差,Gap
栽培,Cultivation
案じる,Tremble
案の定,As expected
桐,Paulownia
桟橋,Pier
梅干,Dried plum
梢,Treetop
梯子,ladder
棄権,Abstension
棟,Ridge
植わる,Be planted
植民地,Colony
検事,Prosecutor
業,Business
業務,business
業績,performance
業者,Business
極めて,extremely
極楽,Paradise
極端,extreme
楽しむ,enjoy
楽観,Optimism
楽譜,Musical score
概念,concept
概略,Outline
概説,Outline
構え,Attitude
構える,Set up
構想,Concept
様,looks
様式,Style
様相,phase
標語,Slogan
模倣,Imitation
模型,model
模範,Exemplary
模索,Search
権,Right
権力,power
権威,authority
権限,authority
横綱,Yokozuna
樹木,Trees
樹立,Establishing a tree
橋渡し,Bridge
機,Machine
機構,mechanism
檻,cage
欠く,Lack
欠乏,deficiency
次,Next
次いで,Next
欲望,desire
欲深い,Greedy
欺く,throw dust in eyes
歎,Squirming
歓声,Cheers
止まる,Stop
止むを得ない,Unavoidable
止める,stop
正しく,Correctly
正に,Exactly
正常,normal
正当,Legitimate
正義,justice
正規,regular
正解,correct answer
此の,this
此れ,This time
此れ等,This time
武力,Force
武装,Armament
歩,Step
歩み,Step
歩む,walk
歪む,wind
歯磨,toothpaste
歯科,Dentistry
歳,age
死,death
死刑,Death sentence
殆ど,Mostly
殊に,Especially
残酷,Cruel
残金,Remaining money
残高,Balance
殴る,hit
段々,Gradually
殺人,murder
殿,Palace
殿様,Palace
母校,alma mater
毎,every
比例,Proportion
比率,ratio
比重,specific gravity
毟る,pluck
氏,Mr.
民主,Democracy
民俗,Folklore
民宿,Guest house
民族,People
気まぐれ,Whimsical
気兼ね,Unbelievable
気品,Dignity
気楽,Comfort
気流,air flow
気立て,Cheer
気触れる,Feel
気象,weather
気質,temperament
気軽,Light
気配,Sign
気障,Disability
気風,Spirit
水気,moisture
水洗,Flushing
水源,Water source
水田,Paddy field
氾濫,flood
汚す,Be dirty
汚らわしい,filthy
汚れ,Dirt
汚れる,Be dirty
決まり悪い,Bad
決まる,Be determined
決勝,final
決意,Determination
決断,decision
決算,settlement
決行,carry out
決議,resolution
汽船,Steamship
沈める,Sink
沈殿,Sedimentation
沈没,Sinking
沈黙,silence
没収,Confiscation
没落,downfall
沢山,Lot
河川,River
沸騰,boiling
油絵,oil
治まる,Subside
治安,Security
治療,Treatment
沼,Swamp
沿い,Along
沿う,Along with
沿岸,Coast
沿線,Along the line
況して,In the situation
泊,Night
泌み泌み,Secret secret
法学,Law
法廷,Court
法案,bill
洋風,Western style
洒落,Fashionable
洒落る,dress stylishly
津波,tsunami
洪水,flood
活ける,Be alive
活発,Vitality
派,Faction
派遣,Dispatch
流,Style
流し,sink
流行,trend
流通,distribution
浅ましい,Shallow
浜,beach
浜辺,beach
浪費,waste
浮かぶ,Be
浮力,buoyancy
浮気,Flirtation
浴室,bathroom
海峡,Strait
海抜,Above the sea
海流,Sea current
海路,Sea road
海運,Shipping
浸す,Soak
消去,erase
消息,Outlook
消耗,Consumption
液,liquid
涸れる,Dry up
深める,deepen
混む,Be crowded
混同,Confusion
混血,Mixed race
添う,Accompany
添える,Serve
清々しい,fresh
清らか,Pure
清濁,good and evil
清算,Liquidation
清純,Pure
済ます,Finish
済まない,Inevitable
済みません,Excuse me
渋い,Sober
減少,Decline
減点,Deduction
渡り鳥,Migratory bird
渦,Vortex
温和,mild
湿気る,Be moist
満たす,Fulfill
満場,Fullness
満月,full moon
源,source
準じる,Comply
準ずる,Comply
準急,Semi -express
溜まり,Pool
溝,groove
溢れる,Overflow
溶液,solution
滅びる,perish
滅ぼす,destroy
滅亡,Destruction
滅茶苦茶,Messy
滑らか,Smooth
滑稽,Humorous
滞る,Be delayed
滞納,Delinquency
滲む,Bleed
漁村,fishing village
漁船,Fishing boat
漂う,Drift
漏らす,Leak
漏る,leak
漏れる,Leak
演じる,play
演ずる,play
演出,Directing
演習,Exercise
漕ぐ,row
漠然,vague
漢語,Chinese language
潜る,dive
潜入,Infiltration
潜水,diving
潤う,Be moisturized
潮,tide
澄ます,Be clear
激励,encouragement
濠,Moat
濫用,abuse
濯ぐ,rinse
火傷,burn
火星,Mars
火燵,Flower
火花,spark
灯,light
灰,Ash
灰皿,ashtray
災害,disaster
炒める,stir fry
炙る,Roast
炭素,carbon
点検,inspection
点火,ignition
点線,dotted line
為さる,do
為来り,Derivation
焚火,bonfire
無効,invalid
無口,Without mouth
無念,Regret
無意味,Meaningless
無断,Without permission
無用,useless
無知,ignorance
無礼,rude
無線,wireless
無能,Incompetence
無茶,Unreasonable
無茶苦茶,Unreasonable
無言,Silent
無論,Naturally
無邪気,Innocence
無闇に,Unreasonably
無難,Safe
無駄遣い,Waste
焦げ茶,Burnt tea
焦る,panic
然うして,But
然し,But
然して,On the other hand
然しながら,Without
然も,But
煌々と,Brilliantly
煌びやか,Glittering
煙たい,smoky
煙る,Smoke
煙草,tobacco
照り返す,Look back
照合,Collation
照明,illumination
煩わしい,troublesome
煽てる,flatter
熱意,enthusiasm
熱湯,Hot water
熱量,Calorie
燃料,fuel
燃焼,combustion
爆弾,bomb
爆破,Blast
父母,Parent
爽やか,refreshing
片付け,Cleaning up
片思い,Unrequited love
片言,Word
版,Plate
版画,Print
牧師,Minister
物体,object
物体ない,Objectless
物好き,Lover
物置き,Storage
物議,Controversy
物資,Supplies
物足りない,Unsatisfactory
特技,Special skill
特有,Unique
特権,Privilege
特派,Correspondence
特産,Specialty
特許,Patent
特集,Special feature
犠牲,Sacrifice
犯す,commit
状,Shape
独創,Originality
独占,Monopoly
独自,Unique
独裁,Dictatorship
猛烈,Fierce
獣,beast
獲得,Acquisition
獲物,Prey
玄人,expert
率いる,Led by
率直,Frank
玉,ball
玩具,toy
班,Group
現われ,Appearing
現われる,Appear
現像,developing
現地,local
現場,Site
現行,current
球根,Bulb
理屈,reason
理性,reason
理論,theory
瓶,bottle
甘い,sweet
甘える,Spoil
甘口,Sweet
甚だ,very
生,Living
生かす,Make use of
生まれつき,Born
生やす,grow
生死,Life and death
生温い,lukewarm
生理,Menstruation
生真面目,Sincerity
生育,growth
生臭い,Fluffy
生計,living
生身,Life
産む,Give birth
産休,maternity leave
産出,Yield
産婦人科,Obstetrics and gynecology
産後,After childbirth
産物,product
甥,nephew
用件,Case
用品,Supplies
用法,Usage
用紙,Paper
田園,Countryside
甲,Shell
申し入れる,Offer
申し出る,Offer
申し分,Compatibility
申し込み,application
申出,Request
申告,Declaration
画,Painting
画期,Station
畏まりました,Understood
留める,stop
畜生,damn it
畜産,Livestock
略奪,Looting
略語,Abbreviation
番目,Number
異動,Transfer
異性,Opposite sex
異見,Disagreement
異論,Objection
異議,Objection
畳,tatami
疎か,Sparse
疑惑,Suspicion
疲労,fatigue
疾っくに,A long time
病,disease
病む,Be ill
症,Illness
痒い,itchy
痛む,Be painful
痛める,Hurt
痛切,Pain
痛感,Feeling of pain
痺れる,Be paralyzed
癌,cancer
発,Departure
発作,Seizure
発掘,Excavation
発条,Facts
発生,occurrence
発病,Illness
発育,development
発芽,Germination
発言,comment
発足,Launch
登校,Attending school
登録,register
白状,Confidence
百科事典,Encyclopedia
百科辞典,encyclopedia
的,Intended
皇居,Imperial Palace
皺,wrinkle
益々,More
盗み,steal
盛り上がる,Be exciting
盛る,Enshrine
盛大,Grand
盛装,Dressed dress
監視,Monitoring
目付き,Eyes
目方,weight
目盛,scale
目眩,Dizziness
目蓋,Lid
目覚しい,remarkable
目覚める,wake up
目論見,Plan
目録,Catalog
盲点,blind spot
直ぐ,immediately
直感,Intuition
直面,Facing
相,phase
相場,Market price
相変わらず,As usual
相対,relative
相応,Correspondence
相応しい,suitable
盾,shield
省みる,Reflect on
眉,eyebrow
看護,Nurse
真っ二つ,Two
真に,truly
真ん中,middle
真ん丸い,Perfect
真ん前,Right before
真上,Right above
真下,Right below
真実,truth
真心,Sincerity
真珠,pearl
真理,truth
真相,truth
眠たい,sleepy
眩しい,dazzling
眼球,Eyeball
眼科,Ophthalmology
眼鏡,glasses
着,Wearing
着工,Start of construction
着席,sit down
着手,Launch
着目,Focus
着色,Coloring
着陸,landing
着飾る,Dress up
瞑る,Close
瞬き,Blinking
矢,arrow
矢っ張り,Rustic
矢鱈に,In a row
知り合い,acquaintance
知性,intelligence
知的,intellectual
短大,Junior college
短歌,Tanka
短気,Dignity
短波,Shortwave
短縮,shortening
砂利,gravel
研ぐ,sharpen
破壊,destruction
破損,Corruption
破棄,destruction
破裂,rupture
碁盤,Go board
碌な,Good
碌に,Well
碑,Monument
確り,firm
確保,Securing
確信,conviction
確定,Confirm
確立,Establishment
磁器,porcelain
磁気,Magnetism
社,Shrine
社交,Socializing
社宅,Company house
祈り,prayer
祝賀,celebration
神殿,temple
神秘,Mystery
神聖,sacred
票,Vote
禁じる,Forbid
禁ずる,Prohibit
禁物,Prohibition
禅,Zen
福,Fortune
福祉,welfare
私,I
私有,Private ownership
私物,Personal property
私用,private
科,Department
秘書,Secretary
秩序,order
称する,Call
移住,Immigration
移民,Immigrant
移行,transfer
稍,Somewhat
税務署,Tax office
種,seed
種々,many kinds
稲光,lightning
穂,Ear
積もり,Accumulation
究極,ultimate
空しい,vain
空ろ,hollow
空腹,Hunger
空間,space
突く,poke
突っ張る,Be crushed
突如,suddenly
突破,Breakthrough
窒息,Suffocation
窮乏,poverty
窮屈,narrow
立ち寄る,Stop by
立体,Three -dimensional
立方,Cube
立法,legislation
竿,rod
第,First
第一,first
筈,Should
等,etc
等級,grade
筒,Cylinder
答え,answer
策,Measures
箇所,part
箇条書き,Bulletin
箇箇,For
管,tube
箪笥,Chest
節,section
築く,build
篭る,Be stuck in
簡易,Simple
簡潔,Simple
簡素,Simple
籤引,Lottery
粉々,Fraction
粉末,Powder
粋,Creepy
粗筋,Crude streaks
粘り,Stickiness
粘る,Stick to
粥,Porridge
精密,precision
精巧,Sophisticated
系,system
納まる,Be in place
納入,delivery
紛らわしい,confusing
紛れる,Be lost
紛争,Dispute
紛失,Loss
素っ気ない,Nasty
素敵,splendid
素早い,quick
素朴,Simplicity
素材,material
紡績,spinning
細やか,Detailed
細工,Work
細胞,cell
細菌,Bacteria
紳士,Gentleman
終わる,End
終始,From the beginning
終日,All day
組み合わせ,combination
組み合わせる,combine
組み込む,Incorporate
経る,Pass
経歴,Career
経緯,background
経費,Expense
経路,route
経過,Progress
結び,Knot
結び付き,Connecting
結び付く,Be connected
結び付ける,Tie
結合,Combination
結成,Formation
結晶,crystal
結束,Unity
結核,tuberculosis
絡む,Be entangled
給う,Page
給仕,Salary
給食,Lunch
絨毯,carpet
統制,control
統合,Integration
統治,Rule
統率,Leadership
絶える,Execute
絶つ,Exterminate
絶望,disappointment
絶版,Out -of -print
継ぎ目,Seam
継ぐ,Take over
網,network
綴じる,Bind
綻びる,begin to open
緊急,emergency
総,Total
総会,General meeting
総合,Comprehensive
締め切り,deadline
編,Edition
緩む,Loosen
緩める,loosen
緩やか,Slender
緩和,relief
練る,Knead
縁,edge
縁側,Porch
縁談,Conversation
縮まる,Shrink
繁栄,prosperity
繁殖,Breeding
繁盛,Prosperity
繊維,fiber
織,Weaving
織る,weave
織物,fabric
繕う,Fix
纏まり,Conclusion
纏め,Summary
罰,punishment
罵る,Abuse
美,Beauty
美味しい,delicious
美術,art
群,group
群がる,Flock
群集,crowd
義理,Inheritance
老いる,Old
老ける,age
老衰,Aging
考古学,Archeology
而も,But
耐える,Endure
耕作,Cultivation
耳鼻科,Otolaryngology
聖書,Bible
聞き取り,Hearing
聳える,Rise
聴覚,Hearing
聴診器,Stethoscope
聴講,Hearing class
職務,Duties
職員,Staff
肉体,body
肉親,Parent
肝心,Important
股,crotch
肥料,fertilizer
育ち,Raising
育成,Training
肺,lung
背く,Go away
背後,Behind
背景,background
背負う,Carry on
胴,Body
脂肪,fat
脅かす,threaten
脅す,threaten
脅迫,Intimidation
脆い,brittle
脈,pulse
脚本,Script
脚色,Adaptation
脱する,escape
脱出,escape
脱退,Withdrawal
脳,brain
腐敗,corruption
腕前,Skill
腫れる,Be swollen
腸,Intestine
腹立ち,Anger
腿,thigh
膜,film
膨れる,swell
膨脹,expansion
膳,Table
臆病,Timid
臍,Navel
臨む,Face
自ずから,naturally
自主,Independent
自信,Confidence
自動詞,Automatic verb
自在,freely
自尊心,Self -esteem
自己,self
自惚れ,Pride
自我,ego
自立,Independence
自覚,Awareness
自転,rotation
自首,Self -sufficient
至って,Far
興じる,Look up
興奮,excitement
興業,Industry
舗装,pavement
舞う,Flutter
航海,Voyage
船舶,Ship
良い,good
良好,Good
良心,conscience
良識,Good sense
良質,Good quality
色々,various
色彩,color
艶,gloss
芝,Turf
花びら,petal
花壇,flower bed
花粉,pollen
苗,Seedling
苛々,Irritating
苛める,tease
若し,Youth
若しかしたら,Young
若しかして,Young
若しかすると,If you only
若しくは,Or
若しも,Even
若干,Slightly
苦しめる,Suffer
英字,English letters
英雄,hero
茎,Stem
茶の湯,tea ceremony
茶の間,Tea room
茹でる,boil
草臥れる,Be laid down
荒っぽい,rough
荒らす,Devastate
荒廃,Devastation
荷,load
荷造り,packing
華々しい,spectacular
華やか,Gorgeous
華奢,delicate
華美,Gorgeousness
萎びる,wilt
萎む,Wither
落ちる,drop down
落ち着き,Calm
落ち葉,Fallen leaves
落ち込む,Be depressed
落とす,Drop
落下,Falling
著,Book
著しい,Remarkable
著名,Well -known
著書,book
葦,reed
葬る,bury
蒸留,distillation
蓄積,Accumulation
蓋,lid
蓮,lotus
蔵,Warehouse
蔵相,Phase
蕩ける,Be aware of
蕾,bud
薄弱,Weakness
藁,straw
藍褸,Indigo
藻掻く,Scratch algae
蛋白質,protein
蜂蜜,honey
蜜,Honey
蝶,butterfly
融資,Loan
融通,Flexibility
血管,Blood vessels
衆,People
衆議院,House of Representatives
行,line
行い,Do
行き成り,Going out
行き違い,Misunderstanding
行員,Clerk
行政,Government
行為,action
行進,march
街,Town
街道,highway
街頭,Street
衛生,Hygiene
衝撃,impact
衣料,Clothing
衣装,Costume
衣類,clothing
衰える,waste away
裁く,judge
裂ける,Torn
装備,Equipment
装飾,Decoration
裏返し,Flip -back
補償,compensation
補充,Replenishment
補助,auxiliary
補強,Reinforcement
補給,Supplementation
補足,supplement
裸足,barefoot
製,Manufacturing
製法,Method of manufacture
製鉄,Steelmaking
裾,hem
複合,composite
褒美,reward
襟,collar
襲う,Attack
襲撃,Raid
西日,West day
要する,Need
要因,cause
要望,request
要請,request
覆す,Overturn
覆面,Mask
見すぼらしい,shabby
見せびらかす,show off
見せ物,Show
見っともない,Unprecedented
見合い,Matchmaking
見合わせる,Match
見地,Glance
見掛ける,see
見方,Perspective
見晴らし,view
見渡す,Overlook
見積り,Quotation
見舞,Visit
見苦しい,unsightly
見落とす,overlook
見込み,Expectation
見逃す,miss
見通し,Outlook
規制,Regulation
規定,Provisions
規格,standard
規模,scale
規範,Norm
規約,Rules
視察,Inspection
視点,perspective
視覚,Vision
視野,Vision
覚え,Awareness
親しむ,Be familiar with
親善,Goodwill
観,View
観点,Point of view
観衆,Crowd
観覧,Viewing
角,corner
解く,solve
解剖,Dissection
解除,lift
言い訳,excuse
言伝,Dialogue
言論,Speech
訂正,correction
計器,Instrument
討論,Discussion
討議,discussion
記す,Write down
記名,Name
記載,description
記述,Description
訪れる,visit
設ける,prepare
設定,setting
設立,Establishment
設置,Installation
許容,Tolerance
訴え,Complaint
訴訟,Lawsuit
診療,Medical treatment
証,proof
証人,witness
証拠,evidence
証言,testimony
詐欺,scam
試み,Trial
試みる,Attempt
詫び,apology
詰まり,Clogging
詰らない,Indistinguishable
詰る,Be clogged
話し合い,discussion
該当,said
詳細,detail
誂える,Order
誇る,Be proud
誇張,Exaggeration
認める,admit
認識,recognition
誘導,Guidance
誘惑,Temptation
語句,phrase
語彙,vocabulary
語源,Etymology
誠,Sincerity
誠実,sincerity
誤る,Be incorrect
誤差,error
誤魔化す,Deceive
説く,preach
説得,Persuasion
読み上げる,Read out
読者,reader
誰,Who
課外,Extracurricular
課題,Theme
調べ,Investigation
調停,arbitration
調印,Signing
調和,Harmony
調理,cooking
諄い,Heavy
論理,logic
論議,Discussion
諦め,Giving up
諮る,Consult
諸,various
諸君,All
謙る,Be humble
講習,Short course
講読,Reading
謝絶,Rejection
警戒,Vigilance
警部,Police officer
議事堂,Parliamentary hall
議案,Bill
議決,Resolution
議題,agenda
譲歩,Concession
護衛,escort
豊作,Abundant harvest
象,elephant
象徴,Symbol
貝殻,shell
負う,Bear
負かす,Defeat
負債,liabilities
負傷,Injury
負担,load
財,Goods
財政,finance
財源,Financial resources
貧乏,poor
貧困,poverty
貧弱,Poor
貨幣,money
貫く,Pierced through
貫禄,dignity
責務,Responsibility
貯蓄,savings
貴い,precious
貴女,you
貴族,Aristocrat
貶す,Degrade
費,Expense
費やす,spend
賃金,wage
賄う,Cover
資格,Qualification
資産,assets
資金,Funds
賑わう,Be crowded
賛成,agreement
賛美,praise
賜る,Grant
賠償,compensation
賢明,Wisdom
質疑,Question
質素,Simple
賭け,Betting
賭ける,bet
購入,purchase
購読,Subscription
購買,purchase
贋物,fake
赤ちゃん,baby
赤らむ,Reddish
赤字,deficit
走行,Driving
赴く,go
赴任,Assignment
起こす,Wake up
起伏,Undulation
起源,origin
起点,Starting point
超,Hyper
趣,Tendency
趣旨,Effect
足し算,addition
距離,distance
跡切れる,Be cut off
跡継ぎ,heir
跨がる,Straddle
跨ぐ,Straddle
踏まえる,Take into account
踵,heel
蹴飛ばす,kick
躊躇う,hesitate
躓く,stumble
身なり,Dressed
身体,body
身振り,gesture
身近,Familiarity
躾,Discipline
軈て,In a row
軋む,Squeak
軌道,Track
軍,army
軍事,Military affairs
軍備,Armaments
軍服,Military uniform
軍艦,Warship
軒並み,Everywhere
転じる,Turn
転任,Transferring
転勤,transfer
転回,Change
転居,Relocation
転換,Conversion
転校,Transferring
転落,Fall
転転,Changing
軸,shaft
軽快,Lightly
軽減,Reduction
軽率,Carelessly
軽蔑,Contempt
輪,ring
辛うじて,barely
辛抱,patience
辞職,Resignation
辞退,Decline
辟易,Frightening
農地,Agricultural land
農場,farm
農耕,Farming
辺り,Around
辻褄,Coherence
込める,Put in
辿り着く,to arrive
辿る,follow
迅速,Quick
近々,soon
近付く,approach
近眼,Short -right
近視,Myopia
近郊,Vicinity
返る,Return
返済,pay back debt
返答,reply
返還,return
迚も,And
迫害,persecution
追い出す,Kick out
追い込む,Drive in
追及,Pursuit
追放,Expulsion
追跡,Tracking
退く,Retreat
退ける,refuse
退化,Degeneration
退学,Dropping out of school
退治,Extermination
退職,retirement
送金,money transfer
逃げ出す,Run away
逃す,Miss
逃れる,escape
逃亡,Fleeing
逃走,Escape
逆上る,Go up
逆立ち,Handstand
逆転,Reversal
途上,On the way
途中,in the middle
途絶える,Break down
通,Passage
通りかかる,Be passed by
通常,generally
逞しい,strong
造り,Structure
造る,make
連なる,Be in a row
連ねる,Join
連中,Their colleagues
連休,Consecutive holidays
連帯,solidarity
連日,Every day
連盟,Federation
連邦,Federation
進み,Proceeding
進出,Advance
進化,evolution
進呈,Presentation
進展,Progress
進度,progress
進行,Progress
進路,course
逸らす,Abandon
遂げる,Accomplish
遅くとも,Late
遅らす,delay
遅れ,delay
遊牧,Nomadism
運命,destiny
運営,operation
運搬,Transportation
運用,Operation
運賃,fare
運輸,transportation
運送,Shipping
過ぎ,Over
過ち,Reconciliation
過労,overwork
過多,Excess
過密,Excessive
過疎,Depopulation
道場,dojo
達成,Achievement
達者,Master
違える,Make a different
遠ざかる,Go away
遠回り,Detour
遠方,Distant
遣い,Sources
遣り通す,Pass through
遣る,Send
遥か,far
適宜,As appropriate
適応,Adaptation
適性,Aptitude
遭難,Distress
遮る,Interrupt
選挙,selection
選考,Selection
遺跡,Remains
避難,Evacuation
還元,reduction
還暦,60th birthday
邸宅,Mansion
部,Department
部下,subordinate
部門,Department
郷愁,Nostalgia
郷里,Hometown
配偶者,spouse
配分,Allocation
配列,arrangement
配布,distribution
配慮,consideration
配給,distribution
配置,Arrangement
酪農,dairy
酷い,terrible
酸,acid
酸っぱい,sour
酸化,Oxidation
重,Heavy
重なる,Overlap
重んじる,Value
重んずる,Value
重宝,Handy
重役,Heavy role
重複,Duplicate
野党,Opposition party
野外,Outdoors
野心,ambition
野生,wild
金庫,safe
金槌,hammer
釣り,fishing
釣鐘,Bell
鈍る,Become dull
鈍感,Insensitive
鉄棒,Iron bar
鉄片,Fragment
鉄鋼,Steel
鉛,lead
鉱山,mine
鉱業,Mining
銃,gun
銅,copper
鋏,scissors
鋸,saw
錆び,Rust
錯覚,Illusion
錯誤,Erroneous
鍛える,Train
長,Long
長々,long
長大,Long -term college
長官,Secretary
長編,Feature film
長閑,Quiet
門,gate
閉口,Closing mouth
閉鎖,close
開催,hold
開拓,Cultivation
開発,development
間々,In the end
間もなく,Soon
間柄,relationship
間違う,Make a mistake
関与,Involvement
関税,Tariff
閲覧,Viewing
闇,darkness
防火,Fire prevention
防衛,defense
阻む,Hinder
阻止,Stopping
降伏,Surrender
降水,precipitation
限定,exclusive
除外,Exclusion
陰気,Gloomy
陳列,display
陶器,Pottery
階,Floors
階層,hierarchy
階級,class
隔たる,Be separated
隔週,Every other week
際,edge
障る,Be obvious
隠居,Retirement
雄,Male
雅致,Elegance
集まる,get together
集計,totalling
雇用,employment
雌,female
雑,rough
雑木,Miscellaneous trees
雑談,Chat
雑貨,general merchandise
雛,chick
難,Difficulty
難い,hard
雨具,rain gear
雨天,Raining
雪崩,avalanche
雫,drop
零す,spill
零れる,Be spilled
雷,Thunder
電源,power supply
電線,Electrical wire
震わせる,Shake
霞む,Be blurred
露,Dew
露骨,Blatant
青春,Youth
静止,Still
静的,static
非,Unlucky
非行,delinquency
非難,Criticism
面,surface
面する,Face
面会,Meeting
面白い,interesting
面皰,acne
面目,Face
革命,revolution
革新,innovation
鞠,ball
音,sound
音色,Tone tone
頂,Top
頃,Time
預金,deposit
頑丈,Sturdy
頑固,Stubbornness
領土,territory
領地,territory
領域,region
領海,Territorial waters
