Japanese,English
たちまち,Immediately
縮む,Shrink
落着く,Be calm
薄める,dilute
こっそり,secretly
目下,inferior
中年,middle aged
加熱,heating
撮影,photograph
おねがいします,please
載る,Appear
ピストル,pistol
手続き,procedure
溶け込む,Blend into
学術,Academic science
もしかすると,perhaps
佚,Lingering
出張,business trip
ビタミン,vitamin
評論,Criticism
名所,Famous place
以降,from
祖先,ancestor
飽くまで,To get tired
摩擦,friction
勇ましい,Brave
強気,strong
断定,Determination
大木,large tree
しゃっくり,hiccup
日程,schedule
枯れる,Die
社説,editorial
宴会,Banquet
混ぜる,mix
三角,triangle
性質,nature
間も無く,Before long
思い込む,Think of
淡水,Freshwater
巡査,Police officer
突き当たり,End of end
掘る,dig
ためらう,Hesitate
句読点,Punctuation
果実,fruit
垂直,vertical
被せる,Cover
長女,Eldest daughter
動作,motion
浮く,float
いつのまにか,Someday
バンド,band
英文,English sentence
溶岩,lava
しみじみ,Sacrifice
掏摸,pickpocket
圧縮,compression
乾杯,cheers
永い,long
半島,Peninsula
床の間,Between the floor
車掌,conductor
有料,Paid
日帰り,Day trip
睨む,Glare
不通,Inexperienced
東西,East and west
どうぞよろしく,Nice to meet you
背負う,Carry on
正門,Main gate
ばからしい,Tremendous
岬,cape
面積,area
騒々しい,Noisy
プリント,Print
扇子,Fan
再三,repeatedly
快晴,Fine weather
叔父さん,Uncle
ともかく,anyway
売り切れ,sold out
もったいない,too good to waste
姪,niece
水平線,Horizon
概論,Overview
塵紙,Dust paper
言葉遣い,wording
加速,acceleration
蹴る,Kick
話し掛ける,Talk
着替え,Change of clothes
洗剤,soap
下書き,draft
和服,Kimono
いよいよ,Finally
短期,short term
貨物,cargo
オーケストラ,orchestra
討つ,attack
交ざる,Interact
スライド,slide
温帯,Temperate zone
農産物,Agricultural product
私立,private
商店,Shop
合流,Joining
バランス,balance
客間,Guest room
運河,canal
きっかけ,chance
サラリーマン,Office worker
俳句,Haiku poetry
神様,God
判事,Judge
訳す,Translate
森林,forest
内線,extension
組合せ,combination
停車,Stopping
洋品店,Clothing store
覗く,look in
格別,Exceptional
ファスナー,fastener
文芸,Literary art
日日,Day
個体,individual
引返す,Return
正味,net
ラッシュアワー,rush hour
思い付く,Come up with
日陰,Shade
付近,near
電池,battery
再来週,Next week
纏める,Put together
水分,moisture
解散,dissolution
威張る,Be dignified
湿る,Become damp
あいかわらず,As usual
武士,samurai
入れ物,container
鈍い,dull
発想,Idea
釘,nail
楕円,ellipse
生長,growth
掛け算,multiplication
テンポ,tempo
裏返す,Turn over
おどかす,Frustration
しゃぶる,suck
普及,Spread
紙屑,Paper scrap
規律,Discipline
実る,Be fruitful
貸家,Rental house
自治,Self -government
器具,Equipment
浸ける,Soak
レクリェーション,Recreation
慶ぶ,Derivative
ブローチ,brooch
図表,Diagram
チョーク,Chalk
ステージ,stage
おしゃれ,Be fashionable
性別,sex
傾らか,Sloppy
シャッター,shutter
腰掛け,Sitting down
しゃがむ,squat
小父さん,Father
足跡,Footprint
算数,arithmetic
繋げる,connect
手頃,Affordable
役者,actor
製作,Production
理科,Science
未満,less than
けれど,But
けれども,However
思い掛けない,Unreasonable
煮える,Boil
的確,Accuracy
